lat,long,date,lcc
-0.559788,37.478215,4/7/2021,Cultivated and managed vegetation/agriculture (cropland)
-2.441984,40.161785,7/13/2020,"Open forest, unknown"
-0.65167,38.402958,4/4/2021,Urban / built up
-0.610328,38.112466,2/5/2021,Cultivated and managed vegetation/agriculture (cropland)
0.120728,37.069462,2/11/2021,Cultivated and managed vegetation/agriculture (cropland)
-3.523345,39.842349,2/7/2021,"Open forest, unknown"
0.267439,35.73517,3/11/2021,"Open forest, unknown"
2.329307,37.999144,5/27/2020,"Open forest, unknown"
3.995706,37.271629,1/30/2021,Urban / built up
0.399275,36.309291,2/19/2021,"Open forest, unknown"
-1.690028,40.169425,2/25/2021,Urban / built up
-0.514504,37.752022,3/29/2021,Cultivated and managed vegetation/agriculture (cropland)
-0.131647,36.183557,3/5/2021,"Open forest, unknown"
0.962792,38.536762,2/28/2021,Urban / built up
-1.569844,38.361372,3/10/2021,"Open forest, unknown"
-1.017875,37.944368,2/28/2021,Cultivated and managed vegetation/agriculture (cropland)
0.333635,35.886404,3/17/2021,"Open forest, unknown"
-1.615352,38.083818,2/26/2021,"Open forest, unknown"
-0.593956,36.117772,3/25/2021,Cultivated and managed vegetation/agriculture (cropland)
-0.434608,37.727465,3/5/2021,Cultivated and managed vegetation/agriculture (cropland)
-0.473804,38.048668,3/11/2021,Cultivated and managed vegetation/agriculture (cropland)
3.505389,38.750893,3/9/2021,Urban / built up
-1.144976,37.542628,2/18/2021,Urban / built up
0.488934,35.757274,3/7/2021,Cultivated and managed vegetation/agriculture (cropland)
0.443058,36.373658,2/2/2021,Cultivated and managed vegetation/agriculture (cropland)
2.653445,36.265506,6/30/2020,"Open forest, unknown"
-1.596898,40.065718,1/22/2021,"Open forest, unknown"
-0.554743,37.472296,3/26/2021,Cultivated and managed vegetation/agriculture (cropland)
-0.557966,38.211351,3/17/2021,Urban / built up
-2.074083,38.32407,3/28/2021,Cultivated and managed vegetation/agriculture (cropland)
3.470848,39.312153,4/8/2021,"Open forest, unknown"
-1.328026,38.021342,3/6/2021,Cultivated and managed vegetation/agriculture (cropland)
0.611276,40.408895,7/1/2020,Urban / built up
3.505722,38.750543,4/7/2021,Urban / built up
-1.658884,37.293249,2/18/2021,Cultivated and managed vegetation/agriculture (cropland)
4.206057,34.347978,3/9/2021,"Open forest, unknown"
-1.515583,37.262008,1/15/2021,Urban / built up
-1.635857,37.991432,2/12/2021,Cultivated and managed vegetation/agriculture (cropland)
3.398432,40.224347,12/22/2020,Urban / built up
-1.1415,37.47247,4/11/2021,Cultivated and managed vegetation/agriculture (cropland)
3.36035,39.415678,3/5/2021,Urban / built up
0.274936,36.363522,3/24/2021,"Open forest, unknown"
0.359236,37.596102,4/10/2021,Urban / built up
-0.330637,37.647965,1/26/2021,Urban / built up
3.602626,38.516688,3/31/2021,"Open forest, unknown"
-0.639431,38.360417,2/20/2021,"Open forest, unknown"
-0.429939,39.650938,1/8/2021,Urban / built up
-3.050805,40.096721,3/18/2021,"Open forest, unknown"
0.078143,37.185311,1/20/2021,Cultivated and managed vegetation/agriculture (cropland)
-0.331817,37.637139,2/6/2021,Urban / built up
3.506866,38.96646,1/20/2021,"Open forest, unknown"
3.102482,35.599204,4/12/2021,Urban / built up
0.35715,37.583587,4/1/2020,Urban / built up
2.243404,38.004098,4/19/2021,Cultivated and managed vegetation/agriculture (cropland)
-0.724596,39.018163,1/12/2021,Urban / built up
0.035575,36.356163,4/2/2021,Urban / built up
-0.00474,37.763742,12/30/2020,Cultivated and managed vegetation/agriculture (cropland)
0.017271,38.07817,3/12/2021,Cultivated and managed vegetation/agriculture (cropland)
1.784668,35.491053,2/19/2021,"Open forest, unknown"
-0.153557,38.202779,3/23/2021,Cultivated and managed vegetation/agriculture (cropland)
0.084404,37.788071,12/31/2020,"Open forest, unknown"
-3.753036,39.656477,2/25/2021,"Open forest, unknown"
-0.503999,39.656672,3/2/2021,"Open forest, unknown"
3.35751,39.41994,3/20/2021,Urban / built up
-0.546077,37.450531,3/24/2021,Urban / built up
-1.432593,38.256639,2/20/2021,"Open forest, unknown"
-1.401743,37.710838,2/15/2021,Cultivated and managed vegetation/agriculture (cropland)
2.358126,37.998619,1/5/2021,"Open forest, unknown"
-0.033303,37.112323,2/9/2021,Cultivated and managed vegetation/agriculture (cropland)
-0.296666,37.670646,4/13/2021,"Open forest, unknown"
0.467056,35.742492,2/15/2021,"Open forest, unknown"
0.339078,37.577469,1/31/2021,Urban / built up
3.119974,35.608017,5/12/2020,Urban / built up
0.237925,36.399995,2/11/2021,Cultivated and managed vegetation/agriculture (cropland)
0.37197,37.588207,1/28/2021,Cultivated and managed vegetation/agriculture (cropland)
-0.692334,37.649875,1/31/2021,Cultivated and managed vegetation/agriculture (cropland)
0.354744,37.55924,3/16/2021,Urban / built up
3.396982,40.224056,1/25/2021,Urban / built up
-0.877704,38.150685,3/3/2021,Cultivated and managed vegetation/agriculture (cropland)
0.095677,37.16744,1/13/2021,Cultivated and managed vegetation/agriculture (cropland)
-0.681715,38.138945,2/16/2021,Cultivated and managed vegetation/agriculture (cropland)
-0.006289,35.584082,2/15/2021,"Open forest, unknown"
0.086704,37.719374,1/20/2021,Cultivated and managed vegetation/agriculture (cropland)
-0.779218,38.081325,1/26/2021,Cultivated and managed vegetation/agriculture (cropland)
-1.558995,38.117508,3/16/2021,Cultivated and managed vegetation/agriculture (cropland)
-0.49409,37.460126,2/23/2021,Cultivated and managed vegetation/agriculture (cropland)
-1.590588,38.332137,4/16/2021,"Open forest, unknown"
0.47872,35.985834,3/1/2021,"Open forest, unknown"
2.386572,35.64322,4/7/2021,Urban / built up
0.307613,36.373337,3/4/2021,Cultivated and managed vegetation/agriculture (cropland)
-0.920046,38.12261,2/1/2021,Cultivated and managed vegetation/agriculture (cropland)
3.506922,38.75144,3/9/2021,Urban / built up
-0.475457,37.553465,2/28/2021,Urban / built up
1.222518,36.54015,9/17/2020,"Open forest, unknown"
4.20179,34.388149,4/2/2021,"Open forest, unknown"
-0.590182,36.127638,4/7/2021,Cultivated and managed vegetation/agriculture (cropland)
3.503397,38.970332,3/2/2021,"Open forest, unknown"
-3.749401,39.658854,2/11/2021,"Open forest, unknown"
0.019467,37.07847,3/28/2021,Urban / built up
1.757378,37.326006,2/17/2021,"Open forest, unknown"
-0.52538,37.742649,3/20/2021,Cultivated and managed vegetation/agriculture (cropland)
-0.451504,39.641215,2/17/2021,Urban / built up
-0.939257,38.086985,2/8/2021,Cultivated and managed vegetation/agriculture (cropland)
0.036593,37.110001,3/19/2021,Cultivated and managed vegetation/agriculture (cropland)
-1.280544,38.218367,2/14/2021,"Open forest, unknown"
-1.18603,37.838573,4/3/2021,Cultivated and managed vegetation/agriculture (cropland)
0.191695,35.821361,3/27/2021,"Open forest, unknown"
3.469137,39.311659,3/11/2021,"Open forest, unknown"
-1.471292,38.03665,4/11/2021,Cultivated and managed vegetation/agriculture (cropland)
0.038139,36.381507,2/12/2021,Urban / built up
0.07831,35.641537,3/15/2021,"Open forest, unknown"
0.058216,37.16786,2/3/2021,Cultivated and managed vegetation/agriculture (cropland)
1.739731,37.312448,3/13/2021,"Open forest, unknown"
3.117168,37.41542,2/15/2021,"Open forest, unknown"
3.995372,37.272608,3/2/2021,Urban / built up
1.590296,37.802701,7/14/2020,Urban / built up
1.991497,35.93774,2/12/2021,Urban / built up
-0.520525,39.664418,3/22/2021,"Open forest, unknown"
2.238938,38.003528,3/9/2021,"Open forest, unknown"
-1.357209,38.026795,1/19/2021,Cultivated and managed vegetation/agriculture (cropland)
0.839968,38.496806,4/8/2021,Urban / built up
-0.45274,37.787944,3/30/2021,Urban / built up
3.110818,35.614734,3/4/2021,Urban / built up
-0.593168,38.041673,3/24/2021,Cultivated and managed vegetation/agriculture (cropland)
0.036264,36.353163,3/11/2021,Cultivated and managed vegetation/agriculture (cropland)
0.962752,38.536698,3/1/2021,Urban / built up
-1.252927,38.097692,3/17/2021,"Open forest, unknown"
3.470123,39.051094,1/18/2021,"Open forest, unknown"
1.767368,37.320687,3/22/2021,"Open forest, unknown"
-2.374958,40.407104,2/11/2021,"Open forest, unknown"
0.038139,36.381481,3/29/2021,Urban / built up
-0.481235,39.652985,3/12/2021,Urban / built up
0.355941,37.574749,1/25/2021,Urban / built up
4.207017,34.372564,4/7/2021,Urban / built up
-1.158252,38.006812,1/30/2021,Cultivated and managed vegetation/agriculture (cropland)
2.063867,35.436958,1/30/2021,"Open forest, unknown"
-0.94258,38.053427,2/12/2021,Cultivated and managed vegetation/agriculture (cropland)
2.112273,36.161631,3/8/2021,"Open forest, unknown"
3.119542,35.600603,3/18/2021,Urban / built up
1.957047,36.045455,3/3/2021,"Open forest, unknown"
2.303663,38.044697,5/27/2020,Cultivated and managed vegetation/agriculture (cropland)
3.465685,39.304465,2/4/2021,"Open forest, unknown"
2.337267,37.97035,1/19/2021,Cultivated and managed vegetation/agriculture (cropland)
0.585573,37.585079,2/16/2021,Urban / built up
2.334123,38.024959,11/24/2020,"Open forest, unknown"
0.073907,37.094913,1/30/2021,Cultivated and managed vegetation/agriculture (cropland)
0.850228,38.380051,1/14/2021,"Open forest, unknown"
1.744078,40.047981,3/14/2021,Urban / built up
3.479682,39.126605,3/10/2021,"Open forest, unknown"
-1.091621,37.968018,2/10/2021,Cultivated and managed vegetation/agriculture (cropland)
3.931885,41.206845,2/25/2021,"Open forest, unknown"
2.23902,38.014732,2/25/2021,"Open forest, unknown"
-0.202438,38.260265,3/9/2021,Cultivated and managed vegetation/agriculture (cropland)
3.121325,37.41735,6/6/2020,"Open forest, unknown"
-2.384269,40.460107,2/17/2021,"Open forest, unknown"
-0.392739,37.812256,3/4/2021,Cultivated and managed vegetation/agriculture (cropland)
-0.254239,37.637823,2/3/2021,Cultivated and managed vegetation/agriculture (cropland)
0.478308,35.771081,5/28/2020,Cultivated and managed vegetation/agriculture (cropland)
-2.218013,40.804862,3/8/2021,"Open forest, unknown"
3.972171,40.136578,2/5/2021,"Open forest, unknown"
3.153435,39.251094,1/14/2021,Urban / built up
2.789235,39.501122,12/26/2020,Urban / built up
3.15313,39.251025,3/31/2021,Urban / built up
0.215411,36.392683,1/23/2021,Cultivated and managed vegetation/agriculture (cropland)
-0.935762,37.333232,2/7/2021,Cultivated and managed vegetation/agriculture (cropland)
3.119693,35.600906,1/18/2021,Urban / built up
1.746059,40.054664,1/24/2021,Urban / built up
3.348706,39.205719,1/27/2021,"Open forest, unknown"
1.101926,40.259786,4/25/2021,Urban / built up
2.338685,37.973611,12/22/2020,Urban / built up
0.408544,36.392484,3/1/2021,Cultivated and managed vegetation/agriculture (cropland)
0.490639,35.762813,3/9/2021,"Open forest, unknown"
3.128545,37.427279,6/18/2020,Urban / built up
0.07898,35.645542,3/3/2021,"Open forest, unknown"
3.504414,39.055208,4/1/2021,Urban / built up
4.205766,34.344984,3/15/2021,Urban / built up
-0.486654,39.657672,1/13/2021,Urban / built up
-0.104261,38.019997,3/4/2021,Cultivated and managed vegetation/agriculture (cropland)
0.981592,37.318615,4/15/2021,Urban / built up
-3.39115,37.677002,2/17/2021,Urban / built up
-0.485014,38.091536,3/1/2021,Cultivated and managed vegetation/agriculture (cropland)
-0.919169,38.267363,3/29/2021,Cultivated and managed vegetation/agriculture (cropland)
0.850325,38.48877,2/24/2021,"Open forest, unknown"
-0.970615,38.007244,4/11/2021,Cultivated and managed vegetation/agriculture (cropland)
0.007955,35.582789,3/20/2021,Cultivated and managed vegetation/agriculture (cropland)
-3.913658,39.621515,2/13/2021,"Open forest, unknown"
0.044387,35.707148,3/16/2021,Cultivated and managed vegetation/agriculture (cropland)
0.011078,37.076468,4/24/2021,Urban / built up
-0.56139,37.33062,2/28/2021,Urban / built up
-0.438047,37.733393,3/3/2021,Cultivated and managed vegetation/agriculture (cropland)
0.120656,37.813674,1/13/2021,Cultivated and managed vegetation/agriculture (cropland)
3.97832,41.903321,1/4/2021,"Open forest, unknown"
-0.155703,37.979636,2/18/2021,Cultivated and managed vegetation/agriculture (cropland)
2.118093,36.153298,3/17/2021,"Open forest, unknown"
0.486422,36.018284,3/18/2021,Cultivated and managed vegetation/agriculture (cropland)
-3.346983,39.928839,3/3/2021,"Open forest, unknown"
0.497345,35.769616,2/25/2021,"Open forest, unknown"
-0.323549,37.654876,4/6/2021,Cultivated and managed vegetation/agriculture (cropland)
0.353243,37.582771,1/31/2021,Urban / built up
0.036419,36.353726,4/5/2021,Urban / built up
0.013846,37.07672,4/16/2021,Urban / built up
-0.771172,37.365485,4/26/2021,Cultivated and managed vegetation/agriculture (cropland)
-0.330346,37.65076,2/24/2021,Urban / built up
0.013129,37.076498,4/23/2021,Urban / built up
0.292722,36.364198,1/15/2021,"Open forest, unknown"
2.32539,37.988635,4/15/2021,Urban / built up
3.994662,37.273087,4/13/2021,Urban / built up
3.505313,38.751676,3/20/2021,Urban / built up
0.520581,35.757827,3/2/2021,"Open forest, unknown"
3.565945,38.642634,4/12/2021,Urban / built up
1.143039,36.745091,3/6/2021,"Open forest, unknown"
1.976497,36.073077,3/26/2021,"Open forest, unknown"
0.472021,35.984983,4/12/2021,Urban / built up
-0.36701,35.997517,3/29/2021,Cultivated and managed vegetation/agriculture (cropland)
-0.799442,39.840902,5/31/2020,"Open forest, unknown"
0.749245,36.540401,1/6/2021,"Open forest, unknown"
0.766597,36.405164,4/9/2021,"Open forest, unknown"
2.335168,37.999163,4/3/2021,Urban / built up
-2.20031,40.84183,2/27/2021,"Open forest, unknown"
0.03585,36.367177,3/14/2021,Urban / built up
1.784175,36.787735,6/11/2020,Urban / built up
1.067772,38.667969,2/13/2021,Urban / built up
-1.141024,37.611369,1/28/2021,Cultivated and managed vegetation/agriculture (cropland)
-1.695418,40.170327,4/8/2021,Urban / built up
-1.332874,37.501974,1/26/2021,Cultivated and managed vegetation/agriculture (cropland)
-0.425795,37.758553,3/26/2021,Cultivated and managed vegetation/agriculture (cropland)
1.743687,40.04791,3/8/2021,Urban / built up
-1.948121,37.743522,1/20/2021,Cultivated and managed vegetation/agriculture (cropland)
-1.23638,38.196139,3/12/2021,"Open forest, unknown"
-1.119217,37.599488,2/9/2021,Urban / built up
3.11772,35.599156,2/3/2021,Urban / built up
-0.158199,35.692621,4/5/2021,Urban / built up
2.055033,35.442152,2/1/2021,"Open forest, unknown"
-1.316152,38.023558,2/25/2021,Cultivated and managed vegetation/agriculture (cropland)
0.729754,39.176101,6/20/2020,Urban / built up
1.305901,38.973492,1/27/2021,Urban / built up
3.391627,40.223794,1/12/2021,"Open forest, unknown"
-0.982901,38.040539,2/16/2021,Cultivated and managed vegetation/agriculture (cropland)
-0.244078,37.661532,3/14/2021,Cultivated and managed vegetation/agriculture (cropland)
3.154121,39.251677,2/15/2021,Urban / built up
-1.396537,38.015166,2/10/2021,Cultivated and managed vegetation/agriculture (cropland)
-0.285996,36.124114,4/4/2021,Urban / built up
1.748338,40.05533,2/11/2021,Urban / built up
-1.499865,37.951475,2/8/2021,Cultivated and managed vegetation/agriculture (cropland)
-0.480042,39.652018,1/3/2021,Urban / built up
0.748797,36.441402,2/27/2021,"Open forest, unknown"
-1.282437,38.290118,2/22/2021,"Open forest, unknown"
-0.467746,37.886704,2/11/2021,Cultivated and managed vegetation/agriculture (cropland)
-1.266212,38.105757,3/8/2021,Cultivated and managed vegetation/agriculture (cropland)
2.229104,38.006845,3/2/2021,"Open forest, unknown"
0.059666,37.20248,3/16/2021,Cultivated and managed vegetation/agriculture (cropland)
-0.771351,37.823756,2/12/2021,Cultivated and managed vegetation/agriculture (cropland)
-0.122929,37.721215,1/6/2021,"Open forest, unknown"
-0.067919,36.166466,4/14/2021,"Open forest, unknown"
2.210495,37.87108,2/11/2021,"Open forest, unknown"
0.299801,35.859163,2/6/2021,"Open forest, unknown"
3.99515,37.272507,2/28/2021,Urban / built up
1.744989,40.043991,1/28/2021,Urban / built up
-3.907698,39.627203,2/21/2021,"Open forest, unknown"
2.00389,39.760742,2/27/2021,Urban / built up
-0.954875,38.076217,3/1/2021,Cultivated and managed vegetation/agriculture (cropland)
-0.08944,37.804372,1/19/2021,Cultivated and managed vegetation/agriculture (cropland)
0.835849,36.561428,4/4/2021,"Open forest, unknown"
-1.594913,40.514479,4/5/2021,Urban / built up
0.004428,37.096953,2/5/2021,Urban / built up
-1.535259,38.029885,1/28/2021,Cultivated and managed vegetation/agriculture (cropland)
3.56466,38.651842,1/22/2021,"Open forest, unknown"
-0.281992,37.893169,1/25/2021,Cultivated and managed vegetation/agriculture (cropland)
0.045049,37.109201,1/28/2021,Cultivated and managed vegetation/agriculture (cropland)
4.209959,34.357517,3/22/2021,"Open forest, unknown"
0.022793,36.050276,2/26/2021,"Open forest, unknown"
3.99535,37.272652,3/9/2021,Urban / built up
-0.610617,38.18359,2/8/2021,Cultivated and managed vegetation/agriculture (cropland)
3.320335,37.073739,7/14/2020,Urban / built up
-0.540648,37.455958,2/20/2021,Urban / built up
-1.515587,37.26201,1/13/2021,Urban / built up
-1.038586,38.36203,3/25/2021,Cultivated and managed vegetation/agriculture (cropland)
3.15408,39.251714,3/9/2021,Urban / built up
0.056734,37.178433,1/16/2021,Cultivated and managed vegetation/agriculture (cropland)
-1.611488,38.273214,1/31/2021,"Open forest, unknown"
3.460948,38.932345,1/11/2021,"Open forest, unknown"
-0.642517,36.297776,3/31/2021,Cultivated and managed vegetation/agriculture (cropland)
-0.299178,38.224156,1/18/2021,Cultivated and managed vegetation/agriculture (cropland)
-0.424923,37.841028,3/5/2021,Cultivated and managed vegetation/agriculture (cropland)
4.322008,35.676738,3/12/2021,Urban / built up
0.976207,36.676849,3/19/2021,"Open forest, unknown"
-1.288106,38.184107,2/16/2021,"Open forest, unknown"
-0.323332,37.737946,4/10/2021,Cultivated and managed vegetation/agriculture (cropland)
0.316969,36.211932,3/23/2021,Cultivated and managed vegetation/agriculture (cropland)
-1.11909,37.900801,2/27/2021,Cultivated and managed vegetation/agriculture (cropland)
1.748816,40.058224,3/8/2021,Urban / built up
0.091307,37.655656,2/10/2021,Urban / built up
0.56208,35.873722,3/9/2021,"Open forest, unknown"
0.360634,37.587915,4/15/2020,Urban / built up
3.940093,41.836032,1/22/2021,"Open forest, unknown"
-0.335441,37.830498,3/9/2021,Urban / built up
1.969707,36.058357,2/11/2021,"Open forest, unknown"
-1.280446,36.852171,3/29/2021,Urban / built up
3.543943,38.641602,2/10/2021,"Open forest, unknown"
2.20105,37.899013,4/13/2021,"Open forest, unknown"
